Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Regional_indicator_Central and Eastern Europe,Regional_indicator_Commonwealth of Independent States,Regional_indicator_East Asia,Regional_indicator_Latin America and Caribbean,Regional_indicator_Middle East and North Africa,Regional_indicator_North America and ANZ,Regional_indicator_South Asia,Regional_indicator_Southeast Asia,Regional_indicator_Sub-Saharan Africa,Regional_indicator_Western Europe
7.52,0.744,50.78,0.622,-0.07,0.726,0,0,0,0,0,0,0,0,1,0
7.546,0.745,51.32,0.741,-0.016,0.765,0,0,0,0,0,0,0,0,1,0
7.559,0.742,51.86,0.71,-0.004,0.801,0,0,0,0,0,0,0,0,1,0
7.568,0.705,52.4,0.659,0.004,0.693,0,0,0,0,0,0,0,0,1,0
7.596,0.764,52.9,0.645,-0.001,0.721,0,0,0,0,0,0,0,0,1,0
7.627,0.785,53.4,0.614,-0.063,0.727,0,0,0,0,0,0,0,0,1,0
7.665,0.665,53.9,0.721,-0.013,0.757,0,0,0,0,0,0,0,0,1,0
7.691,0.683,54.4,0.678,-0.004,0.729,0,0,0,0,0,0,0,0,1,0
6.719,0.291,49.02,0.26,-0.019,0.86,0,0,0,0,0,0,0,0,1,0
6.723,0.326,49.66,0.427,-0.019,0.718,0,0,0,0,0,0,0,0,1,0
6.748,0.422,50.68,0.49,-0.062,0.677,0,0,0,0,0,0,0,0,1,0
6.787,0.565,51.82,0.431,-0.059,0.808,0,0,0,0,0,0,0,0,1,0
6.635,0.485,53.4,0.646,-0.024,0.599,0,0,0,0,0,0,0,0,1,0
7.746,0.793,55.3,0.9391333333333332,0.255,0.829,0,0,0,0,0,0,0,1,0,0
7.829,0.675,56.1,0.819,0.116,0.879,0,0,0,0,0,0,0,1,0,0
7.879,0.619,56.9,0.914,0.045,0.888,0,0,0,0,0,0,0,1,0,0
7.865,0.818,57.7,0.937,0.152,0.965,0,0,0,0,0,0,0,1,0,0
7.907,0.697,58.5,0.94,0.35,0.896,0,0,0,0,0,0,0,1,0,0
7.96,0.716,58.88,0.927,0.418,0.775,0,0,0,0,0,0,0,1,0,0
8.014,0.606,59.26,0.956,0.247,0.89,0,0,0,0,0,0,0,1,0,0
8.068,0.651,59.64,0.941,0.164,0.812,0,0,0,0,0,0,0,1,0,0
8.121,0.693,60.02,0.938,0.239,0.843,0,0,0,0,0,0,0,1,0,0
8.173,0.729,60.4,0.956,0.21,0.825,0,0,0,0,0,0,0,1,0,0
8.225,0.746,60.8,0.958,0.076,0.84,0,0,0,0,0,0,0,1,0,0
8.276,0.765,61.2,0.964,0.088,0.821,0,0,0,0,0,0,0,1,0,0
8.333,0.795,61.6,0.958,0.036,0.8531333333333333,0,0,0,0,0,0,0,1,0,0
8.387,0.759,62.0,0.957,0.013,0.828,0,0,0,0,0,0,0,1,0,0
8.362,0.724,62.4,0.963,0.052,0.863,0,0,0,0,0,0,0,1,0,0
8.007,0.69,45.98,0.653,-0.009,0.907,0,0,0,0,0,0,0,0,1,0
8.028,0.717,46.56,0.644,-0.031,0.91,0,0,0,0,0,0,0,0,1,0
8.034,0.697,47.14,0.58,-0.069,0.945,0,0,0,0,0,0,0,0,1,0
8.029,0.729,47.72,0.698,-0.017,0.925,0,0,0,0,0,0,0,0,1,0
8.035,0.759,48.3,0.792,0.002,0.875,0,0,0,0,0,0,0,0,1,0
8.048,0.738,48.7,0.817,-0.029,0.87,0,0,0,0,0,0,0,0,1,0
8.065,0.743,49.1,0.766,-0.032,0.898,0,0,0,0,0,0,0,0,1,0
8.09,0.76,49.5,0.794,-0.03,0.867,0,0,0,0,0,0,0,0,1,0
8.12,0.778,49.9,0.795,-0.071,0.856,0,0,0,0,0,0,0,0,1,0
8.149,0.646,50.3,0.791,0.049,0.868,0,0,0,0,0,0,0,0,1,0
8.167,0.659,51.1,0.713,-0.003,0.879,0,0,0,0,0,0,0,0,1,0
8.176,0.695,51.9,0.767,-0.028,0.844,0,0,0,0,0,0,0,0,1,0
